CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202602,,88770.279999998,14269.980000000,,1218.94,0,,subdel,1,,325,280,45,0,3,3,0,0,75 años y más,,406.313333333,,3
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202602,Polygon,104575.519999998,9843.890000000,,452.17,0,,subdel,1,1,359,328,31,0,1,1,0,0,75 años y más,,452.17,,1
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202602,MultiPolygon,156577.089999996,21815.410000000,,423.94,0,,subdel,1,2,563,494,69,0,1,1,0,0,75 años y más,,423.94,,1
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202602,MultiPolygon,50623.819999999,2835.360000000,,0,0,,subdel,1,3,169,160,9,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202602,MultiPolygon,93666.709999998,9637.560000000,,0,0,,subdel,1,4,325,295,30,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202602,Polygon,117983.019999997,17560.150000000,,1515.3,0,,subdel,1,5,426,371,55,0,3,3,0,0,75 años y más,,505.1,,3
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202602,MultiPolygon,70058.679999998,7907.060000000,,0,0,,subdel,1,6,246,221,25,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202602,MultiPolygon,187715.019999996,16222.340000000,,338.82,0,,subdel,1,7,643,592,51,0,1,1,0,0,75 años y más,,338.82,,1
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202602,Polygon,202686.079999995,44875.449999999,,1201.83,0,,subdel,1,8,783,641,142,0,3,3,0,0,75 años y más,,400.61,,3
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202602,Polygon,330.570000000,,,0,,,subdel,1,9,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202602,Polygon,315.040000000,,,0,,,subdel,1,9,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202602,Polygon,1713968.56999996,245766.679999994,,15120.54,945.12,,subdel,1,9,6162,5388,774,0,42,39,3,0,75 años y más,315.04,387.706153846,,42
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202602,Polygon,118239.829999997,18159.170000000,,923.53,0,,subdel,1,10,430,373,57,0,2,2,0,0,75 años y más,,461.765,,2
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202602,Polygon,323248.759999993,27816.699999999,,870.3,0,,subdel,1,11,1104,1016,88,0,2,2,0,0,75 años y más,,435.15,,2
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202602,MultiPolygon,106419.169999998,10143.400000000,,900,0,,subdel,1,12,366,334,32,0,2,2,0,0,75 años y más,,450,,2
