CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202601,,19419.330000000,2535.850000000,,36836.84,315.04,,subdel,1,,69,61,8,0,81,80,1,0,75 años y más,315.04,460.4605,,81
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202601,Polygon,0,,,434.97,,,subdel,1,1,0,0,0,0,1,1,0,0,75 años y más,,434.97,,1
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202601,Polygon,20663.960000000,1905.770000000,,14798.3,0,,subdel,1,1,71,65,6,0,39,39,0,0,75 años y más,,379.443589744,,39
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202601,MultiPolygon,0,0,,2294.51,469.63,,subdel,1,2,0,0,0,0,7,6,1,0,75 años y más,469.63,382.418333333,,7
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202601,MultiPolygon,39690.599999999,5701.780000000,,110769.64,2873.31,,subdel,1,2,143,125,18,0,265,257,8,0,75 años y más,359.16375,431.010272374,,265
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202601,MultiPolygon,0,,,670.87,,,subdel,1,3,0,0,0,0,1,1,0,0,75 años y más,,670.87,,1
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202601,MultiPolygon,8898.770000000,0,,13145.19,1973.81,,subdel,1,3,28,28,0,0,34,30,4,0,75 años y más,493.4525,438.173,,34
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202601,MultiPolygon,21986.239999999,2582.440000000,,9156.52,0,,subdel,1,4,77,69,8,0,22,22,0,0,75 años y más,,416.205454545,,22
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202601,Polygon,0,0,,1664.85,415.58,,subdel,1,5,0,0,0,0,5,4,1,0,75 años y más,415.58,416.2125,,5
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202601,Polygon,37772.509999999,3858.130000000,,64272.54,2534.95,,subdel,1,5,130,118,12,0,165,158,7,0,75 años y más,362.135714286,406.788227848,,165
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202601,MultiPolygon,0,,,656.3,,,subdel,1,6,0,0,0,0,2,2,0,0,75 años y más,,328.15,,2
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202601,MultiPolygon,15845.180000000,1921.300000000,,9816.36,0,,subdel,1,6,56,50,6,0,23,23,0,0,75 años y más,,426.798260870,,23
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202601,MultiPolygon,0,0,,2237.36,503.16,,subdel,1,7,0,0,0,0,6,5,1,0,75 años y más,503.16,447.472,,6
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202601,MultiPolygon,40997.349999999,2236.340000000,,49930.7,2848.3,,subdel,1,7,136,129,7,0,126,119,7,0,75 años y más,406.9,419.585714286,,126
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202601,Polygon,0,0,,4333.14,675.84,,subdel,1,8,0,0,0,0,14,12,2,0,75 años y más,337.92,361.095,,14
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202601,Polygon,57978.449999999,14301.040000000,,67780.8,4414.26,,subdel,1,8,228,183,45,0,178,167,11,0,75 años y más,401.296363636,405.873053892,,178
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202601,Polygon,330.570000000,,,0,,,subdel,1,9,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202601,Polygon,630.080000000,315.040000000,,7760.32,361.41,,subdel,1,9,3,2,1,0,22,21,1,0,75 años y más,361.41,369.539047619,,22
