CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202606,,37986.719999999,6063.410000000,,1874.41,795.87,,subdel,1,,138,119,19,0,7,5,2,0,75 años y más,397.935,374.882,,7
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202606,Polygon,33323.239999999,3165.930000000,,2663.48,0,,subdel,1,1,114,104,10,0,7,7,0,0,75 años y más,,380.497142857,,7
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202606,MultiPolygon,330.570000000,,,0,,,subdel,1,2,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202606,MultiPolygon,53563.449999999,10851.130000000,,5956.14,0,,subdel,1,2,202,168,34,0,15,15,0,0,75 años y más,,397.076,,15
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202606,MultiPolygon,20426.570000000,1921.300000000,,690.66,474.89,,subdel,1,3,70,64,6,0,3,2,1,0,75 años y más,474.89,345.33,,3
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202606,MultiPolygon,51662.119999999,3228.050000000,,1943.65,0,,subdel,1,4,173,163,10,0,5,5,0,0,75 años y más,,388.73,,5
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202606,Polygon,46827.549999999,5779.430000000,,3323.68,0,,subdel,1,5,164,146,18,0,8,8,0,0,75 años y más,,415.46,,8
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202606,MultiPolygon,16599.500000000,3165.930000000,,651.78,0,,subdel,1,6,62,52,10,0,2,2,0,0,75 años y más,,325.89,,2
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202606,MultiPolygon,66118.459999998,4803.250000000,,1672.04,0,,subdel,1,7,223,208,15,0,5,5,0,0,75 años y más,,334.408,,5
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202606,Polygon,72022.129999998,15323.810000000,,6887.88,0,,subdel,1,8,274,226,48,0,18,18,0,0,75 años y más,,382.66,,18
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202606,Polygon,330.570000000,,,634.37,,,subdel,1,9,1,1,0,0,1,1,0,0,75 años y más,,634.37,,1
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202606,Polygon,694926.699999984,93114.279999998,,44678.67,1590.73,,subdel,1,9,2469,2176,293,0,130,125,5,0,75 años y más,318.146,357.42936,,130
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202606,Polygon,42934.179999999,5087.230000000,,3192.37,0,,subdel,1,10,151,135,16,0,8,8,0,0,75 años y más,,399.04625,,8
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202606,Polygon,108837.429999998,12881.550000000,,4397.86,0,,subdel,1,11,380,340,40,0,13,13,0,0,75 años y más,,338.296923077,,13
