CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Tamaulipas,202601,75 años y más,,445.43,0,0,0,0,9,9,0,0
7,Transportes y comunicaciones,Tamaulipas,202601,75 años y más,412.600833333,431.549060403,213,186,27,0,161,149,12,0
7,Transportes y comunicaciones,Tlaxcala,202601,75 años y más,,432.145454545,42,40,2,0,11,11,0,0
7,Transportes y comunicaciones,Veracruz,202601,75 años y más,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Veracruz,202601,75 años y más,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Veracruz,202601,75 años y más,366.56,390.77,0,0,0,0,9,7,2,0
7,Transportes y comunicaciones,Veracruz,202601,75 años y más,443.07125,425.817207792,238,214,24,0,162,154,8,0
7,Transportes y comunicaciones,Yucatán,202601,75 años y más,549.1,410.706666667,0,0,0,0,5,3,2,0
7,Transportes y comunicaciones,Yucatán,202601,75 años y más,375.256666667,415.500833333,130,114,16,0,111,108,3,0
7,Transportes y comunicaciones,Zacatecas,202601,75 años y más,,315.04,0,0,0,0,1,1,0,0
7,Transportes y comunicaciones,Zacatecas,202601,75 años y más,,405.63,53,48,5,0,15,15,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202601,Mayor o igual a 15 y menor a 20 años de edad,330.57,413.904761905,436,383,53,0,22,21,1,0
7,Transportes y comunicaciones,Aguascalientes,202601,Mayor o igual a 15 y menor a 20 años de edad,323.723333333,386.494520548,681,631,50,0,76,73,3,0
7,Transportes y comunicaciones,Baja California,202601,Mayor o igual a 15 y menor a 20 años de edad,388.061666667,426.421238671,1256,1140,116,0,343,331,12,0
7,Transportes y comunicaciones,Baja California Sur,202601,Mayor o igual a 15 y menor a 20 años de edad,456.365,469.646486486,303,279,24,0,78,74,4,0
7,Transportes y comunicaciones,Campeche,202601,Mayor o igual a 15 y menor a 20 años de edad,315.04,442.03,377,350,27,0,52,51,1,0
