CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202510,,108412.729999997,12272.950000000,,6815.44,620.13,,subdel,1,,414,372,42,0,20,18,2,0,75 años y más,310.065,378.635555556,,20
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202510,Polygon,134366.359999997,11674.120000000,,5188.29,285.76,,subdel,1,1,501,461,40,0,13,12,1,0,75 años y más,285.76,432.3575,,13
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202510,MultiPolygon,242772.699999994,25437.239999999,,19246.25,278.8,,subdel,1,2,919,832,87,0,50,49,1,0,75 años y más,278.8,392.780612245,,50
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202510,MultiPolygon,69811.139999998,7007.220000000,,3694.86,0,,subdel,1,3,264,240,24,0,10,10,0,0,75 años y más,,369.486,,10
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202510,MultiPolygon,105344.139999997,6993.480000000,,1458.43,0,,subdel,1,4,388,364,24,0,5,5,0,0,75 años y más,,291.686,,5
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202510,Polygon,169788.749999995,20715.379999999,,10665.23,296.53,,subdel,1,5,655,584,71,0,32,31,1,0,75 años y más,296.53,344.039677419,,32
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202510,MultiPolygon,87094.479999998,10823.980000000,,2497.62,0,,subdel,1,6,335,298,37,0,8,8,0,0,75 años y más,,312.2025,,8
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202510,MultiPolygon,262384.919999994,21620.479999999,,10311.39,379.96,,subdel,1,7,972,898,74,0,29,28,1,0,75 años y más,379.96,368.263928571,,29
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202510,Polygon,284423.859999993,49078.019999999,,16862.78,2042.61,,subdel,1,8,1145,977,168,0,52,48,4,0,75 años y más,510.6525,351.307916667,,52
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202510,Polygon,2091163.85999995,289545.969999993,,75087.05,2795,,subdel,1,9,8145,7155,990,0,219,210,9,0,75 años y más,310.555555556,357.557380952,,219
