CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Puebla,202512,Entre 15 y 20 años,292.69,313.9691667,757,708,49,0,40,36,4,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 15 y 20 años,,339.7192593,565,527,38,0,27,27,0,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 15 y 20 años,290.74,370.5633333,694,652,42,0,28,27,1,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 15 y 20 años,365.165,316.3817143,886,816,70,0,37,35,2,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 15 y 20 años,300.085,346.4298,1108,1027,81,0,52,50,2,0
7,Transportes y comunicaciones,Sonora,202512,Entre 15 y 20 años,292.785,344.3145763,709,660,49,0,61,59,2,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 15 y 20 años,,394.8842857,512,474,38,0,14,14,0,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 15 y 20 años,300.33,405.227,834,761,73,0,63,60,3,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 15 y 20 años,,350.2877778,100,100,0,0,9,9,0,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 15 y 20 años,384.56,347.0422034,1087,992,95,0,63,59,4,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 15 y 20 años,289.56,350.8868966,483,438,45,0,30,29,1,0
7,Transportes y comunicaciones,Zacatecas,202512,Entre 15 y 20 años,,350.9052941,223,214,9,0,17,17,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 20 y 25 años,313.4566667,381.8413115,1572,1381,191,0,128,122,6,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 20 y 25 años,349.565,330.4534021,3330,3058,272,0,196,194,2,0
7,Transportes y comunicaciones,Baja California,202512,Entre 20 y 25 años,344.0392857,381.3670546,7438,6699,739,0,724,696,28,0
7,Transportes y comunicaciones,Baja California Sur,202512,Entre 20 y 25 años,290.9333333,391.238595,1461,1302,159,0,127,121,6,0
7,Transportes y comunicaciones,Campeche,202512,Entre 20 y 25 años,316.6075,338.1048958,2470,2282,188,0,100,96,4,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,Entre 20 y 25 años,340.050625,375.8678555,6791,6117,674,0,445,429,16,0
7,Transportes y comunicaciones,Colima,202512,Entre 20 y 25 años,391.52125,359.1828889,2025,1815,210,0,98,90,8,0
7,Transportes y comunicaciones,Chiapas,202512,Entre 20 y 25 años,367.543125,376.8825474,6397,5901,496,0,385,369,16,0
7,Transportes y comunicaciones,Chihuahua,202512,Entre 20 y 25 años,328.0043478,364.2752414,10943,9104,1839,0,626,580,46,0
7,Transportes y comunicaciones,Durango,202512,Entre 20 y 25 años,303.24,356.2427805,4145,3744,401,0,211,205,6,0
7,Transportes y comunicaciones,Guanajuato,202512,Entre 20 y 25 años,331.4844,345.5033986,10889,10076,813,0,587,562,25,0
7,Transportes y comunicaciones,Guerrero,202512,Entre 20 y 25 años,371.624,373.2304525,3403,3028,375,0,236,221,15,0
7,Transportes y comunicaciones,Hidalgo,202512,Entre 20 y 25 años,392.604,372.2616964,2021,1842,179,0,117,112,5,0
7,Transportes y comunicaciones,Jalisco,202512,Entre 20 y 25 años,336.6515942,362.1597152,23011,20882,2129,0,1579,1510,69,0
7,Transportes y comunicaciones,México,202512,Entre 20 y 25 años,328.3005825,347.9317531,39161,35536,3625,0,1974,1871,103,0
