CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202511,,134133.789999995,16586.599999999,,11325.34,1230.54,,subdel,1,,535,476,59,0,34,31,3,0,75 años y más,410.18,365.333548387,,34
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202511,Polygon,164560.189999994,13492.319999999,,5658.62,295.03,,subdel,1,1,631,583,48,0,16,15,1,0,75 años y más,295.03,377.241333333,,16
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202511,MultiPolygon,282258.049999989,27404.839999999,,20306.24,1046.24,,subdel,1,2,1101,1003,98,0,57,54,3,0,75 años y más,348.746666667,376.041481481,,57
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202511,MultiPolygon,82041.639999997,8711.500000000,,7759.17,0,,subdel,1,3,323,292,31,0,20,20,0,0,75 años y más,,387.9585,,20
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202511,MultiPolygon,121892.299999995,9031.520000000,,2550.9,0,,subdel,1,4,466,434,32,0,7,7,0,0,75 años y más,,364.414285714,,7
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202511,Polygon,191543.139999992,19945.939999999,,11881.83,975.86,,subdel,1,5,752,681,71,0,34,32,2,0,75 años y más,487.93,371.3071875,,34
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202511,MultiPolygon,96429.319999996,12294.679999999,,3164.21,0,,subdel,1,6,388,344,44,0,9,9,0,0,75 años y más,,351.578888889,,9
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202511,MultiPolygon,354917.619999986,25590.639999999,,12745.34,793.24,,subdel,1,7,1355,1264,91,0,33,31,2,0,75 años y más,396.62,411.14,,33
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202511,Polygon,339247.739999986,55911.139999998,,21085.63,587.33,,subdel,1,8,1410,1210,200,0,60,58,2,0,75 años y más,293.665,363.545344828,,60
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202511,Polygon,3015150.21999988,381735.169999985,,119727.07,8901.73,,subdel,1,9,12052,10696,1356,0,343,320,23,0,75 años y más,387.031739130,374.14709375,,343
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202511,Polygon,182332.939999993,17395.519999999,,7980.12,326.71,,subdel,1,10,712,650,62,0,20,19,1,0,75 años y más,326.71,420.006315789,,20
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202511,Polygon,484388.309999981,38219.079999998,,14483.58,389.33,,subdel,1,11,1854,1718,136,0,46,45,1,0,75 años y más,389.33,321.857333333,,46
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202511,MultiPolygon,183834.599999993,18816.999999999,,4756.99,359.25,,subdel,1,12,718,651,67,0,14,13,1,0,75 años y más,359.25,365.922307692,,14
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202511,Polygon,109968.599999996,12669.660000000,,4640.62,0,,subdel,1,13,435,390,45,0,11,11,0,0,75 años y más,,421.874545455,,11
7,Transportes y comunicaciones,JALISCO,JALISCO,Jalisco,202511,MultiPolygon,1116431.48999996,118780.289999995,,59927.79,3494.35,,subdel,1,14,4373,3951,422,0,174,166,8,0,75 años y más,436.79375,361.010783133,,174
7,Transportes y comunicaciones,MÉXICO,MÉXICO,México,202511,Polygon,2913854.90999988,300459.489999988,,79706.7,7315.39,,subdel,1,15,11436,10366,1070,0,233,214,19,0,75 años y más,385.020526316,372.461214953,,233
7,Transportes y comunicaciones,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO,Michoacán de Ocampo,202511,MultiPolygon,262752.21999999,16458.939999999,,4320.02,1071.99,,subdel,1,16,986,928,58,0,16,13,3,0,75 años y más,357.33,332.309230769,,16
