CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202607,,36855.239999999,6032.350000000,,2473.61,470.34,,subdel,1,,135,116,19,0,7,6,1,0,75 años y más,470.34,412.268333333,,7
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202607,Polygon,34960.559999999,3811.540000000,,1573.33,0,,subdel,1,1,121,109,12,0,4,4,0,0,75 años y más,,393.3325,,4
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202607,MultiPolygon,330.570000000,,,0,,,subdel,1,2,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202607,MultiPolygon,64084.009999999,10757.950000000,,4241.67,0,,subdel,1,2,235,201,34,0,10,10,0,0,75 años y más,,424.167,,10
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202607,MultiPolygon,16743.710000000,945.120000000,,0,0,,subdel,1,3,56,53,3,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202607,MultiPolygon,24222.579999999,1275.690000000,,1415.59,0,,subdel,1,4,80,76,4,0,4,4,0,0,75 años y más,,353.8975,,4
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202607,Polygon,40246.889999999,5102.760000000,,4153.11,0,,subdel,1,5,141,125,16,0,9,9,0,0,75 años y más,,461.456666667,,9
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202607,MultiPolygon,27925.409999999,4126.580000000,,360.33,0,,subdel,1,6,101,88,13,0,1,1,0,0,75 años y más,,360.33,,1
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202607,MultiPolygon,66278.199999998,6032.350000000,,2685.68,0,,subdel,1,7,227,208,19,0,6,6,0,0,75 años y más,,447.613333333,,6
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202607,Polygon,71835.769999998,18412.090000000,,5128.99,322.24,,subdel,1,8,284,226,58,0,15,14,1,0,75 años y más,322.24,366.356428571,,15
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202607,Polygon,330.570000000,,,477.88,,,subdel,1,9,1,1,0,0,1,1,0,0,75 años y más,,477.88,,1
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202607,Polygon,315.040000000,315.040000000,,0,0,,subdel,1,9,2,1,1,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202607,Polygon,860705.65999998,129530.239999997,,30990.32,1260.16,,subdel,1,9,3107,2699,408,0,83,79,4,0,75 años y más,315.04,392.282531646,,83
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202607,Polygon,48445.159999999,6631.370000000,,3198.5,0,,subdel,1,10,173,152,21,0,8,8,0,0,75 años y más,,399.8125,,8
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202607,Polygon,138766.229999997,17451.440000000,,4893.61,315.04,,subdel,1,11,490,435,55,0,15,14,1,0,75 años y más,315.04,349.543571429,,15
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202607,MultiPolygon,38678.919999999,5433.330000000,,793.21,0,,subdel,1,12,138,121,17,0,2,2,0,0,75 años y más,,396.605,,2
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202607,Polygon,25953.079999999,5102.760000000,,749.67,0,,subdel,1,13,97,81,16,0,2,2,0,0,75 años y más,,374.835,,2
7,Transportes y comunicaciones,JALISCO,JALISCO,Jalisco,202607,MultiPolygon,264542.769999994,32020.929999999,,7844.44,0,,subdel,1,14,931,830,101,0,19,19,0,0,75 años y más,,412.865263158,,19
7,Transportes y comunicaciones,MÉXICO,MÉXICO,México,202607,Polygon,695501.779999984,103231.059999998,,8003.47,712.24,,subdel,1,15,2517,2191,326,0,23,21,2,0,75 años y más,356.12,381.117619048,,23
7,Transportes y comunicaciones,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO,Michoacán de Ocampo,202607,MultiPolygon,62834.939999999,9575.440000000,,1324.99,393.69,,subdel,1,16,226,196,30,0,4,3,1,0,75 años y más,393.69,441.663333333,,4
