CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202603,,24899.249999999,2866.420000000,,1410.63,0,,subdel,1,,87,78,9,0,3,3,0,0,75 años y más,,470.21,,3
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202603,Polygon,22725.029999999,2205.280000000,,474.71,0,,subdel,1,1,78,71,7,0,1,1,0,0,75 años y más,,474.71,,1
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202603,MultiPolygon,38776.539999999,5417.800000000,,2232.3,0,,subdel,1,2,139,122,17,0,6,6,0,0,75 años y más,,372.05,,6
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202603,MultiPolygon,8914.300000000,960.650000000,,0,383.26,,subdel,1,3,31,28,3,0,1,0,1,0,75 años y más,383.26,,,1
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202603,MultiPolygon,28839.469999999,1606.260000000,,385.65,0,,subdel,1,4,96,91,5,0,1,1,0,0,75 años y más,,385.65,,1
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202603,Polygon,37682.359999999,2866.420000000,,2493.69,0,,subdel,1,5,127,118,9,0,5,5,0,0,75 años y más,,498.738,,5
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202603,MultiPolygon,12080.230000000,2220.810000000,,0,0,,subdel,1,6,45,38,7,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202603,MultiPolygon,35689.839999999,2251.870000000,,1702.21,0,,subdel,1,7,119,112,7,0,4,4,0,0,75 años y más,,425.5525,,4
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202603,Polygon,54890.169999999,9482.260000000,,3190.78,0,,subdel,1,8,203,173,30,0,8,8,0,0,75 años y más,,398.8475,,8
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202603,Polygon,330.570000000,,,0,,,subdel,1,9,1,1,0,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202603,Polygon,630.080000000,315.040000000,,0,0,,subdel,1,9,3,2,1,0,0,0,0,0,75 años y más,,,,0
