CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,6412.400000000,836.400000000,,278.8,0,,subdel,1,1,26,23,3,0,1,1,0,0,75 años y más,,278.8,,1
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,5297.200000000,,,557.6,,,subdel,1,1,19,19,0,0,2,2,0,0,Entre 15 y 20 años,,278.8,,2
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,76112.399999997,5297.200000000,,2230.4,836.4,,subdel,1,1,292,273,19,0,11,8,3,0,Entre 20 y 25 años,278.8,278.8,,11
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,116538.399999995,10315.600000000,,5576,278.8,,subdel,1,1,455,418,37,0,21,20,1,0,Entre 25 y 30 años,278.8,278.8,,21
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,134381.599999994,11709.599999999,,7527.6,278.8,,subdel,1,1,524,482,42,0,28,27,1,0,Entre 30 y 35 años,278.8,278.8,,28
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,112356.399999995,12545.999999999,,9479.2,557.6,,subdel,1,1,448,403,45,0,36,34,2,0,Entre 35 y 40 años,278.8,278.8,,36
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,70815.199999997,8364.000000000,,4460.8,836.4,,subdel,1,1,284,254,30,0,19,16,3,0,Entre 40 y 45 años,278.8,278.8,,19
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,49905.199999998,4460.800000000,,8085.2,0,,subdel,1,1,195,179,16,0,29,29,0,0,Entre 45 y 50 años,,278.8,,29
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,32898.399999999,3624.400000000,,3624.4,0,,subdel,1,1,131,118,13,0,13,13,0,0,Entre 50 y 55 años,,278.8,,13
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202508,Polygon,22582.799999999,1115.200000000,,2509.2,278.8,,subdel,1,1,85,81,4,0,10,9,1,0,Entre 55 y 60 años,278.8,278.8,,10
