entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_NB,PTPD_Aseg_M,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
San Luis Potosí,subdel,Entre 70 y 75 años,202602,65,59,0,6,10,9,1,0,10
Sinaloa,subdel,Entre 70 y 75 años,202602,83,75,0,8,16,16,0,0,16
Sonora,subdel,Entre 70 y 75 años,202602,100,98,0,2,16,16,0,0,16
Tabasco,subdel,Entre 70 y 75 años,202602,17,15,0,2,4,3,1,0,4
Tamaulipas,subdel,Entre 70 y 75 años,202602,82,76,0,6,14,14,0,0,14
Tlaxcala,subdel,Entre 70 y 75 años,202602,19,18,0,1,1,1,0,0,1
Veracruz,subdel,Entre 70 y 75 años,202602,131,124,0,7,21,21,0,0,21
Yucatán,subdel,Entre 70 y 75 años,202602,67,64,0,3,13,13,0,0,13
Zacatecas,subdel,Entre 70 y 75 años,202602,44,38,0,6,8,8,0,0,8
Ciudad de México,subdel,Entre 15 y 20 años,202602,3578,3238,1,339,105,98,7,0,105
Ciudad de México,subdel,Entre 20 y 25 años,202602,42714,37844,1,4869,1445,1373,72,0,1445
Guanajuato,subdel,Entre 30 y 35 años,202602,9849,8936,1,912,789,745,44,0,789
Aguascalientes,subdel,Entre 35 y 40 años,202602,2259,2033,1,225,210,200,10,0,210
Chihuahua,subdel,Entre 35 y 40 años,202602,7439,5932,1,1506,919,816,103,0,919
Puebla,subdel,Entre 25 y 30 años,202602,11288,10317,2,969,800,773,27,0,800
