CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,12400.600000000,571.340000000,,757.85,0,,subdel,1,1,45,43,2,0,2,2,0,0,75 años y más,,378.925,,2
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,13515.800000000,292.540000000,,278.8,0,,subdel,1,1,48,47,1,0,1,1,0,0,Entre 15 y 20 años,,278.8,,1
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,127202.719999996,7692.480000000,,2914.5,278.8,,subdel,1,1,473,446,27,0,11,10,1,0,Entre 20 y 25 años,278.8,291.45,,11
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,162239.339999994,12445.820000000,,4975.07,278.8,,subdel,1,1,617,573,44,0,17,16,1,0,Entre 25 y 30 años,278.8,310.941875,,17
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,168449.639999994,13492.319999999,,7981.74,278.8,,subdel,1,1,645,597,48,0,27,26,1,0,Entre 30 y 35 años,278.8,306.99,,27
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,128218.259999995,13451.099999999,,6930.75,278.8,,subdel,1,1,504,456,48,0,25,24,1,0,Entre 35 y 40 años,278.8,288.78125,,25
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,81497.779999997,9241.620000000,,4322.75,278.8,,subdel,1,1,323,290,33,0,15,14,1,0,Entre 40 y 45 años,278.8,308.767857143,,15
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,58946.459999998,3916.940000000,,5576,0,,subdel,1,1,224,210,14,0,20,20,0,0,Entre 45 y 50 años,,278.8,,20
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,37620.259999998,3359.340000000,,2509.2,0,,subdel,1,1,146,134,12,0,9,9,0,0,Entre 50 y 55 años,,278.8,,9
8,Servicios para empresas,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202507,Polygon,23264.059999999,1394.000000000,,1951.6,278.8,,subdel,1,1,88,83,5,0,8,7,1,0,Entre 55 y 60 años,278.8,278.8,,8
