CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202605,,45108.399999999,6961.940000000,,2065.85,327.29,,subdel,1,,164,142,22,0,6,5,1,0,75 años y más,327.29,413.17,,6
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202605,Polygon,40812.939999999,2850.890000000,,1226,0,,subdel,1,1,136,127,9,0,3,3,0,0,75 años y más,,408.666666667,,3
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202605,MultiPolygon,79770.139999998,13309.330000000,,6080.07,0,,subdel,1,2,293,251,42,0,15,15,0,0,75 años y más,,405.338,,15
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202605,MultiPolygon,25555.159999999,630.080000000,,1269.88,0,,subdel,1,3,82,80,2,0,4,4,0,0,75 años y más,,317.47,,4
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202605,MultiPolygon,57931.859999999,3827.070000000,,1855.72,0,,subdel,1,4,195,183,12,0,5,5,0,0,75 años y más,,371.144,,5
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202605,Polygon,74231.849999998,6409.510000000,,6652.66,0,,subdel,1,5,254,234,20,0,15,15,0,0,75 años y más,,443.510666667,,15
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202605,MultiPolygon,26964.759999999,3181.460000000,,1176.69,0,,subdel,1,6,95,85,10,0,3,3,0,0,75 años y más,,392.23,,3
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202605,MultiPolygon,79964.689999998,7070.650000000,,4131.91,0,,subdel,1,7,274,252,22,0,8,8,0,0,75 años y más,,516.48875,,8
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202605,Polygon,101402.939999998,17389.320000000,,4688.35,346.2,,subdel,1,8,375,320,55,0,12,11,1,0,75 años y más,346.2,426.213636364,,12
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202605,Polygon,330.570000000,,,444.5,,,subdel,1,9,1,1,0,0,1,1,0,0,75 años y más,,444.5,,1
