CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202604,,27656.959999999,4725.600000000,,1016.31,338.16,,subdel,1,,102,87,15,0,3,2,1,0,75 años y más,338.16,508.155,,3
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202604,Polygon,26836.079999999,1890.240000000,,981.46,0,,subdel,1,1,90,84,6,0,2,2,0,0,75 años y más,,490.73,,2
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202604,MultiPolygon,46275.379999999,8268.690000000,,2388.67,0,,subdel,1,2,172,146,26,0,6,6,0,0,75 años y más,,398.111666667,,6
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202604,MultiPolygon,10804.540000000,960.650000000,,496.17,0,,subdel,1,3,37,34,3,0,1,1,0,0,75 años y más,,496.17,,1
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202604,MultiPolygon,29407.429999999,2551.380000000,,391.56,0,,subdel,1,4,101,93,8,0,1,1,0,0,75 años y más,,391.56,,1
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202604,Polygon,46340.209999999,3181.460000000,,2332.49,0,,subdel,1,5,156,146,10,0,6,6,0,0,75 años y más,,388.748333333,,6
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202604,MultiPolygon,17451.440000000,1921.300000000,,394.57,0,,subdel,1,6,61,55,6,0,1,1,0,0,75 años y más,,394.57,,1
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202604,MultiPolygon,42179.859999999,5763.900000000,,2355.38,0,,subdel,1,7,151,133,18,0,5,5,0,0,75 años y más,,471.076,,5
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202604,Polygon,59961.869999999,10773.480000000,,2069.54,0,,subdel,1,8,223,189,34,0,5,5,0,0,75 años y más,,413.908,,5
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202604,Polygon,330.570000000,,,579.12,,,subdel,1,9,1,1,0,0,1,1,0,0,75 años y más,,579.12,,1
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202604,Polygon,945.120000000,315.040000000,,0,0,,subdel,1,9,4,3,1,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202604,Polygon,516153.049999988,71092.539999998,,17125.39,945.12,,subdel,1,9,1842,1619,223,0,46,43,3,0,75 años y más,315.04,398.264883721,,46
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202604,Polygon,34603.369999999,4457.150000000,,1036.86,326.31,,subdel,1,10,123,109,14,0,4,3,1,0,75 años y más,326.31,345.62,,4
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202604,Polygon,91678.849999998,10174.460000000,,2225.3,0,,subdel,1,11,320,288,32,0,6,6,0,0,75 años y más,,370.883333333,,6
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202604,MultiPolygon,26143.879999999,2835.360000000,,1103.69,0,,subdel,1,12,91,82,9,0,3,3,0,0,75 años y más,,367.896666667,,3
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202604,Polygon,18489.740000000,2551.380000000,,396.33,0,,subdel,1,13,66,58,8,0,1,1,0,0,75 años y más,,396.33,,1
7,Transportes y comunicaciones,JALISCO,JALISCO,Jalisco,202604,MultiPolygon,192392.829999996,26805.019999999,,4673.84,324.2,,subdel,1,14,687,603,84,0,12,11,1,0,75 años y más,324.2,424.894545455,,12
7,Transportes y comunicaciones,MÉXICO,MÉXICO,México,202604,Polygon,433699.11999999,57110.979999999,,3880.77,470.2,,subdel,1,15,1546,1366,180,0,11,10,1,0,75 años y más,470.2,388.077,,11
7,Transportes y comunicaciones,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO,Michoacán de Ocampo,202604,MultiPolygon,57102.099999999,4519.270000000,,708.6,365.27,,subdel,1,16,192,178,14,0,3,2,1,0,75 años y más,365.27,354.3,,3
7,Transportes y comunicaciones,MORELOS,MORELOS,Morelos,202604,Polygon,61330.739999999,2850.890000000,,689.44,0,,subdel,1,17,202,193,9,0,2,2,0,0,75 años y más,,344.72,,2
7,Transportes y comunicaciones,NAYARIT,NAYARIT,Nayarit,202604,MultiPolygon,41048.379999999,1890.240000000,,367.2,0,,subdel,1,18,136,130,6,0,1,1,0,0,75 años y más,,367.2,,1
7,Transportes y comunicaciones,NUEVO LEÓN,NUEVO LEÓN,Nuevo León,202604,Polygon,82010.229999998,9482.260000000,,4386.92,447.06,,subdel,1,19,288,258,30,0,10,9,1,0,75 años y más,447.06,487.435555556,,10
7,Transportes y comunicaciones,OAXACA,OAXACA,Oaxaca,202604,MultiPolygon,38068.809999999,3796.010000000,,330.57,0,,subdel,1,20,132,120,12,0,1,1,0,0,75 años y más,,330.57,,1
7,Transportes y comunicaciones,PUEBLA,PUEBLA,Puebla,202604,Polygon,91880.739999998,10835.600000000,,1408.46,0,,subdel,1,21,322,288,34,0,4,4,0,0,75 años y más,,352.115,,4
7,Transportes y comunicaciones,QUERÉTARO,QUERÉTARO,Querétaro,202604,Polygon,34397.039999999,2850.890000000,,472.62,0,,subdel,1,22,117,108,9,0,1,1,0,0,75 años y más,,472.62,,1
7,Transportes y comunicaciones,QUINTANA ROO,QUINTANA ROO,Quintana Roo,202604,MultiPolygon,45867.159999999,5701.780000000,,315.04,0,,subdel,1,23,163,145,18,0,1,1,0,0,75 años y más,,315.04,,1
7,Transportes y comunicaciones,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,San Luis Potosí,202604,Polygon,55630.589999999,5386.740000000,,3120.03,0,,subdel,1,24,191,174,17,0,8,8,0,0,75 años y más,,390.00375,,8
7,Transportes y comunicaciones,SINALOA,SINALOA,Sinaloa,202604,MultiPolygon,67775.749999998,4756.660000000,,763.28,0,,subdel,1,25,229,214,15,0,2,2,0,0,75 años y más,,381.64,,2
7,Transportes y comunicaciones,SONORA,SONORA,Sonora,202604,MultiPolygon,38461.499999999,5949.600000000,,1214.34,0,,subdel,1,26,139,121,18,0,3,3,0,0,75 años y más,,404.78,,3
