CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202608,,65126.749999999,6693.490000000,,0,0,,subdel,1,,226,205,21,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202608,,0,0,,863.27,423.11,,subdel,1,,0,0,0,0,3,2,1,0,75 o más años,423.11,431.635,,3
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202608,Polygon,0,,,1847.25,,,subdel,1,1,0,0,0,0,5,5,0,0,75 o más años,,369.45,,5
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202608,Polygon,57530.289999999,5056.170000000,,0,0,,subdel,1,1,196,180,16,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202608,MultiPolygon,0,,,988.56,,,subdel,1,2,0,0,0,0,2,2,0,0,75 o más años,,494.28,,2
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202608,MultiPolygon,106155.159999998,9859.420000000,,0,0,,subdel,1,2,365,334,31,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202608,MultiPolygon,37154.749999999,4126.580000000,,0,0,,subdel,1,3,130,117,13,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202608,MultiPolygon,0,,,669.98,,,subdel,1,4,0,0,0,0,2,2,0,0,75 o más años,,334.99,,2
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202608,MultiPolygon,64547.699999999,2850.890000000,,0,0,,subdel,1,4,213,204,9,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202608,Polygon,0,,,1126.24,,,subdel,1,5,0,0,0,0,3,3,0,0,75 o más años,,375.413333333,,3
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202608,Polygon,83760.699999998,8284.220000000,,0,0,,subdel,1,5,290,264,26,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202608,MultiPolygon,38414.909999999,6677.960000000,,0,0,,subdel,1,6,142,121,21,0,0,0,0,0,75 o más años,,,,0
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202608,MultiPolygon,0,,,330.57,,,subdel,1,7,0,0,0,0,1,1,0,0,75 o más años,,330.57,,1
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202608,MultiPolygon,116839.899999997,6316.330000000,,0,0,,subdel,1,7,389,369,20,0,0,0,0,0,75 o más años,,,,0
