CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202509,,86915.899999998,11701.610000000,,4927.13,292.54,,subdel,1,,338,298,40,0,14,13,1,0,75 años y más,292.54,379.01,,14
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202509,Polygon,118624.149999997,9626.340000000,,3530.63,0,,subdel,1,1,440,407,33,0,9,9,0,0,75 años y más,,392.292222222,,9
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202509,MultiPolygon,200091.659999995,21634.219999999,,14006.52,0,,subdel,1,2,760,686,74,0,35,35,0,0,75 años y más,,400.186285714,,35
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202509,MultiPolygon,64824.219999998,4388.100000000,,2937.3,0,,subdel,1,3,238,223,15,0,7,7,0,0,75 años y más,,419.614285714,,7
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202509,MultiPolygon,86018.759999998,6700.940000000,,1365.75,0,,subdel,1,4,320,297,23,0,4,4,0,0,75 años y más,,341.4375,,4
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202509,Polygon,157137.489999996,20729.119999999,,6565.94,0,,subdel,1,5,612,541,71,0,19,19,0,0,75 años y más,,345.575789474,,19
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202509,MultiPolygon,77788.169999998,9068.740000000,,1378.98,0,,subdel,1,6,297,266,31,0,3,3,0,0,75 años y más,,459.66,,3
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202509,MultiPolygon,272427.479999993,18137.480000000,,3054.23,0,,subdel,1,7,994,932,62,0,8,8,0,0,75 años y más,,381.77875,,8
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202509,Polygon,237851.059999994,40635.579999999,,9714.55,738.71,,subdel,1,8,956,817,139,0,30,28,2,0,75 años y más,369.355,346.948214286,,30
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202509,Polygon,2289752.96999994,295689.339999993,,36425.9,1646.3,,subdel,1,9,8845,7834,1011,0,109,104,5,0,75 años y más,329.26,350.249038462,,109
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202509,Polygon,136520.029999997,15504.620000000,,4066.14,0,,subdel,1,10,520,467,53,0,12,12,0,0,75 años y más,,338.845,,12
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202509,Polygon,379870.41999999,29505.319999999,,6906.71,0,,subdel,1,11,1403,1302,101,0,20,20,0,0,75 años y más,,345.3355,,20
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202509,MultiPolygon,140560.629999997,12858.020000000,,2117.83,309.74,,subdel,1,12,525,481,44,0,7,6,1,0,75 años y más,309.74,352.971666667,,7
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202509,Polygon,87359.609999998,9640.080000000,,1617.17,0,,subdel,1,13,332,299,33,0,5,5,0,0,75 años y más,,323.434,,5
7,Transportes y comunicaciones,JALISCO,JALISCO,Jalisco,202509,MultiPolygon,861886.559999978,81202.459999998,,31521.3,833.29,,subdel,1,14,3233,2955,278,0,91,89,2,0,75 años y más,416.645,354.171910112,,91
7,Transportes y comunicaciones,MÉXICO,MÉXICO,México,202509,Polygon,2188394.21999995,219670.129999995,,27453.3,2450.65,,subdel,1,15,8235,7484,751,0,85,79,6,0,75 años y más,408.441666667,347.510126582,,85
7,Transportes y comunicaciones,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO,Michoacán de Ocampo,202509,MultiPolygon,215258.569999995,11701.620000000,,4579.07,314.17,,subdel,1,16,777,737,40,0,13,12,1,0,75 años y más,314.17,381.589166667,,13
7,Transportes y comunicaciones,MORELOS,MORELOS,Morelos,202509,Polygon,268761.849999994,28376.379999999,,1735.04,292.54,,subdel,1,17,1016,919,97,0,6,5,1,0,75 años y más,292.54,347.008,,6
7,Transportes y comunicaciones,NAYARIT,NAYARIT,Nayarit,202509,MultiPolygon,105283.459999997,8163.640000000,,4705.18,0,,subdel,1,18,394,366,28,0,13,13,0,0,75 años y más,,361.936923077,,13
7,Transportes y comunicaciones,NUEVO LEÓN,NUEVO LEÓN,Nuevo León,202509,Polygon,302545.379999993,44744.889999999,,15957.49,1250.57,,subdel,1,19,1188,1035,153,0,44,42,2,0,75 años y más,625.285,379.940238095,,44
7,Transportes y comunicaciones,OAXACA,OAXACA,Oaxaca,202509,MultiPolygon,147037.709999996,14627.000000000,,6028.16,292.54,,subdel,1,20,553,503,50,0,17,16,1,0,75 años y más,292.54,376.76,,17
7,Transportes y comunicaciones,PUEBLA,PUEBLA,Puebla,202509,Polygon,389310.12999999,26607.399999999,,8941.87,647.48,,subdel,1,21,1424,1333,91,0,27,25,2,0,75 años y más,323.74,357.6748,,27
7,Transportes y comunicaciones,QUERÉTARO,QUERÉTARO,Querétaro,202509,Polygon,174974.409999996,15797.170000000,,2461.91,0,,subdel,1,22,654,600,54,0,7,7,0,0,75 años y más,,351.701428571,,7
7,Transportes y comunicaciones,QUINTANA ROO,QUINTANA ROO,Quintana Roo,202509,MultiPolygon,208661.739999995,21355.419999999,,4369.42,320.14,,subdel,1,23,789,716,73,0,12,11,1,0,75 años y más,320.14,397.22,,12
7,Transportes y comunicaciones,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,San Luis Potosí,202509,Polygon,183593.739999995,16674.790000000,,6130.22,0,,subdel,1,24,689,632,57,0,17,17,0,0,75 años y más,,360.601176471,,17
7,Transportes y comunicaciones,SINALOA,SINALOA,Sinaloa,202509,MultiPolygon,289377.579999992,21021.659999999,,7323.77,707.9,,subdel,1,25,1068,996,72,0,23,21,2,0,75 años y más,353.95,348.750952381,,23
7,Transportes y comunicaciones,SONORA,SONORA,Sonora,202509,MultiPolygon,182396.099999995,23654.519999999,,7247.27,292.54,,subdel,1,26,709,628,81,0,22,21,1,0,75 años y más,292.54,345.108095238,,22
7,Transportes y comunicaciones,TABASCO,TABASCO,Tabasco,202509,MultiPolygon,152207.259999996,13164.300000000,,1822.93,0,,subdel,1,27,566,521,45,0,4,4,0,0,75 años y más,,455.7325,,4
7,Transportes y comunicaciones,TAMAULIPAS,TAMAULIPAS,Tamaulipas,202509,MultiPolygon,233688.529999994,29254.019999999,,9468.09,531.2,,subdel,1,28,900,800,100,0,26,25,1,0,75 años y más,531.2,378.7236,,26
7,Transportes y comunicaciones,TLAXCALA,TLAXCALA,Tlaxcala,202509,Polygon,65711.609999998,2340.320000000,,297.58,0,,subdel,1,29,233,225,8,0,1,1,0,0,75 años y más,,297.58,,1
7,Transportes y comunicaciones,VERACRUZ,VERACRUZ,Veracruz,202509,MultiPolygon,310039.819999992,36805.099999999,,5289.83,385.95,,subdel,1,30,1190,1064,126,0,16,15,1,0,75 años y más,385.95,352.655333333,,16
7,Transportes y comunicaciones,YUCATÁN,YUCATÁN,Yucatán,202509,MultiPolygon,173419.539999995,18667.600000000,,3717.12,278.8,,subdel,1,31,660,596,64,0,12,11,1,0,75 años y más,278.8,337.92,,12
7,Transportes y comunicaciones,ZACATECAS,ZACATECAS,Zacatecas,202509,Polygon,74528.999999998,3789.280000000,,1794.48,0,,subdel,1,32,268,255,13,0,5,5,0,0,75 años y más,,358.896,,5
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202509,,30954.289999999,2632.860000000,,327.72,0,,subdel,1,,115,106,9,0,1,1,0,0,Entre 15 y 20 años,,327.72,,1
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202509,Polygon,99133.839999997,10810.240000000,,1625.15,292.54,,subdel,1,1,377,340,37,0,6,5,1,0,Entre 15 y 20 años,292.54,325.03,,6
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202509,MultiPolygon,200704.189999995,20464.069999999,,15628.11,0,,subdel,1,2,758,688,70,0,39,39,0,0,Entre 15 y 20 años,,400.720769231,,39
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202509,MultiPolygon,38898.079999999,4081.820000000,,3826.82,0,,subdel,1,3,148,134,14,0,11,11,0,0,Entre 15 y 20 años,,347.892727273,,11
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202509,MultiPolygon,34034.819999999,2340.320000000,,0,0,,subdel,1,4,125,117,8,0,0,0,0,0,Entre 15 y 20 años,,,,0
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202509,Polygon,207193.309999994,20144.039999999,,6477.59,278.8,,subdel,1,5,782,713,69,0,18,17,1,0,Entre 15 y 20 años,278.8,381.034705882,,18
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202509,MultiPolygon,69318.239999998,8483.660000000,,2644.52,0,,subdel,1,6,266,237,29,0,7,7,0,0,Entre 15 y 20 años,,377.788571429,,7
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202509,MultiPolygon,66561.729999998,5850.800000000,,4581.72,0,,subdel,1,7,248,228,20,0,12,12,0,0,Entre 15 y 20 años,,381.81,,12
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202509,Polygon,337112.549999991,42043.319999999,,13206.56,0,,subdel,1,8,1302,1158,144,0,35,35,0,0,Entre 15 y 20 años,,377.330285714,,35
7,Transportes y comunicaciones,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,Ciudad de México,202509,Polygon,335199.969999992,40078.019999999,,13222.05,0,,subdel,1,9,1284,1147,137,0,37,37,0,0,Entre 15 y 20 años,,357.352702703,,37
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202509,Polygon,108102.409999997,8191.120000000,,1145.09,0,,subdel,1,10,398,370,28,0,3,3,0,0,Entre 15 y 20 años,,381.696666667,,3
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202509,Polygon,316398.949999992,23110.669999999,,6517.28,0,,subdel,1,11,1163,1084,79,0,19,19,0,0,Entre 15 y 20 años,,343.014736842,,19
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202509,MultiPolygon,49301.869999999,4680.650000000,,1504.32,0,,subdel,1,12,185,169,16,0,4,4,0,0,Entre 15 y 20 años,,376.08,,4
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202509,Polygon,27151.259999999,1462.700000000,,1417.02,0,,subdel,1,13,98,93,5,0,3,3,0,0,Entre 15 y 20 años,,472.34,,3
