CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,OAXACA,OAXACA,Oaxaca,202512,MultiPolygon,416000.939999985,34188.219999999,,123082.33,7573.55,,subdel,1,20,1576,1455,121,0,312,292,20,0,Entre 45 y 50 años,378.6775,421.514828767,,312
7,Transportes y comunicaciones,PUEBLA,PUEBLA,Puebla,202512,Polygon,1044949.71999996,93026.579999997,,288998.9,10790.06,,subdel,1,21,3995,3667,328,0,760,732,28,0,Entre 45 y 50 años,385.359285714,394.807240437,,760
7,Transportes y comunicaciones,QUERÉTARO,QUERÉTARO,Querétaro,202512,Polygon,360337.129999987,34209.099999999,,114386.64,8992.29,,subdel,1,22,1377,1256,121,0,307,282,25,0,Entre 45 y 50 años,359.6916,405.626382979,,307
7,Transportes y comunicaciones,QUINTANA ROO,QUINTANA ROO,Quintana Roo,202512,MultiPolygon,110188.959999996,11860.750000000,,27585.12,1035.5,,subdel,1,23,429,387,42,0,77,74,3,0,Entre 45 y 50 años,345.166666667,372.771891892,,77
7,Transportes y comunicaciones,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,San Luis Potosí,202512,Polygon,512723.319999981,81774.889999997,,163098.3,10516.91,,subdel,1,24,2082,1793,289,0,424,394,30,0,Entre 45 y 50 años,350.563666667,413.955076142,,424
7,Transportes y comunicaciones,SINALOA,SINALOA,Sinaloa,202512,MultiPolygon,933663.629999964,134822.039999995,,274108.02,23680.02,,subdel,1,25,3768,3290,478,0,724,662,62,0,Entre 45 y 50 años,381.935806452,414.060453172,,724
7,Transportes y comunicaciones,SONORA,SONORA,Sonora,202512,MultiPolygon,763714.599999972,141574.779999995,,235046.84,30121.32,,subdel,1,26,3161,2661,500,0,655,572,83,0,Entre 45 y 50 años,362.907469880,410.921048951,,655
7,Transportes y comunicaciones,TABASCO,TABASCO,Tabasco,202512,MultiPolygon,467866.469999983,58298.449999998,,129063.84,11216.37,,subdel,1,27,1851,1645,206,0,343,315,28,0,Entre 45 y 50 años,400.584642857,409.726476190,,343
7,Transportes y comunicaciones,TAMAULIPAS,TAMAULIPAS,Tamaulipas,202512,MultiPolygon,697550.399999973,100811.829999996,,236276.98,18091.3,,subdel,1,28,2827,2469,358,0,597,549,48,0,Entre 45 y 50 años,376.902083333,430.377012750,,597
7,Transportes y comunicaciones,TLAXCALA,TLAXCALA,Tlaxcala,202512,Polygon,158289.689999994,12765.850000000,,33592.06,2121.64,,subdel,1,29,602,557,45,0,88,82,6,0,Entre 45 y 50 años,353.606666667,409.659268293,,88
7,Transportes y comunicaciones,VERACRUZ,VERACRUZ,Veracruz,202512,MultiPolygon,1629046.39999994,160224.099999994,,474325.31,23427.8,,subdel,1,30,6270,5702,568,0,1201,1138,63,0,Entre 45 y 50 años,371.869841270,416.806072056,,1201
7,Transportes y comunicaciones,YUCATÁN,YUCATÁN,Yucatán,202512,MultiPolygon,893556.589999966,93940.349999996,,246922.31,13826.36,,subdel,1,31,3462,3132,330,0,649,613,36,0,Entre 45 y 50 años,384.065555556,402.809641109,,649
7,Transportes y comunicaciones,ZACATECAS,ZACATECAS,Zacatecas,202512,Polygon,201417.049999993,22048.749999999,,58069.84,3781.24,,subdel,1,32,784,706,78,0,155,146,9,0,Entre 45 y 50 años,420.137777778,397.738630137,,155
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202512,,154628.679999995,27218.239999999,,57025.02,4704.81,,subdel,1,,636,540,96,0,147,134,13,0,Entre 50 y 55 años,361.908461538,425.559850746,,147
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202512,Polygon,165798.059999994,17532.929999999,,56219.99,1515.2,,subdel,1,1,642,580,62,0,152,147,5,0,Entre 50 y 55 años,303.04,382.448911565,,152
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202512,MultiPolygon,315918.979999989,48647.889999998,,140371.19,11877.12,,subdel,1,2,1276,1104,172,0,366,332,34,0,Entre 50 y 55 años,349.327058824,422.804789157,,366
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202512,MultiPolygon,57510.469999998,10398.040000000,,22366.88,1851.68,,subdel,1,3,239,202,37,0,55,50,5,0,Entre 50 y 55 años,370.336,447.3376,,55
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202512,MultiPolygon,188476.549999993,33754.629999999,,41601.8,3488.24,,subdel,1,4,784,664,120,0,114,104,10,0,Entre 50 y 55 años,348.824,400.017307692,,114
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202512,Polygon,556724.579999979,63947.639999998,,190255.64,8714.91,,subdel,1,5,2171,1946,225,0,484,460,24,0,Entre 50 y 55 años,363.12125,413.599217391,,484
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202512,MultiPolygon,82828.829999997,15708.979999999,,20328.18,1508.78,,subdel,1,6,349,293,56,0,54,50,4,0,Entre 50 y 55 años,377.195,406.5636,,54
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202512,MultiPolygon,302357.379999988,38737.649999999,,99748.13,5544.96,,subdel,1,7,1202,1065,137,0,255,238,17,0,Entre 50 y 55 años,326.174117647,419.109789916,,255
